cve_ent|year|month|homicides|pop_est|homicide_rate
02|2012|2|44|3155694.046225672|18.188210812159323
02|2012|3|51|3155694.046225672|19.041616598067094
02|2012|4|46|3155694.046225672|17.747284489440307
02|2012|5|43|3155694.046225672|16.054696347389903
02|2012|6|42|3155694.046225672|16.20404235992376
02|2012|7|50|3155694.046225672|18.668251566732447
02|2012|8|36|3155694.046225672|13.44114112804736
02|2012|9|69|3155694.046225672|26.620926734160463
02|2012|10|38|3155694.046225672|14.187871190716658
02|2012|11|51|3155694.046225672|19.676337151335996
02|2012|12|41|3155694.046225672|15.307966284720605
02|2013|1|48|3155997.53163597|17.91979814393618
02|2013|2|47|3155997.53163597|19.426447839073674
02|2013|3|58|3155997.53163597|21.653089423922886
02|2013|4|83|3155997.53163597|32.019194878019306
02|2013|5|59|3155997.53163597|22.026418551921555
02|2013|6|62|3155997.53163597|23.917952800448152
02|2013|7|62|3155997.53163597|23.146405935917567
02|2013|8|61|3155997.53163597|22.773076807918894
02|2013|9|73|3155997.53163597|28.16146055536637
02|2013|10|71|3155997.53163597|26.5063680879056
02|2013|11|64|3155997.53163597|24.689499664978737
02|2013|12|68|3155997.53163597|25.386380703909587
02|2014|1|69|3156301.4356280067|25.757229562259973
02|2014|2|71|3156301.4356280067|29.343510489924537
02|2014|3|62|3156301.4356280067|23.1441772878278
02|2014|4|51|3156301.4356280067|19.67255069465363
02|2014|5|46|3156301.4356280067|17.171486374839983
02|2014|6|70|3156301.4356280067|27.001540169132433
02|2014|7|61|3156301.4356280067|22.770884105766065
02|2014|8|62|3156301.4356280067|23.1441772878278
02|2014|9|71|3156301.4356280067|27.3872764572629
02|2014|10|59|3156301.4356280067|22.024297741642588
02|2014|11|43|3156301.4356280067|16.58666038960992
02|2014|12|50|3156301.4356280067|18.664659103086937
02|2015|1|54|3156605.339620043|20.155891124496883
02|2015|2|48|3156605.339620043|19.835956344742964
02|2015|3|56|3156605.339620043|20.902405610589362
02|2015|4|70|3156605.339620043|26.99894058034459
02|2015|5|70|3156605.339620043|26.128007013236704
02|2015|6|84|3156605.339620043|32.39872869641351
02|2015|7|73|3156605.339620043|27.24777874237542
02|2015|8|84|3156605.339620043|31.353608415884043
02|2015|9|84|3156605.339620043|32.39872869641351
02|2015|10|76|3156605.339620043|28.367550471514136
02|2015|11|79|3156605.339620043|30.47023294067461
02|2015|12|73|3156605.339620043|27.24777874237542
02|2016|1|92|3156909.662193819|34.336356054680586
02|2016|2|76|3156909.662193819|31.403903286035508
02|2016|3|86|3156909.662193819|32.09702848589707
02|2016|4|79|3156909.662193819|30.467295644171287
02|2016|5|102|3156909.662193819|38.06856866931978
02|2016|6|76|3156909.662193819|29.31030973363314
02|2016|7|110|3156909.662193819|41.05433876103114
02|2016|8|82|3156909.662193819|30.604143440041398
02|2016|9|124|3156909.662193819|47.82208430224354
02|2016|10|97|3156909.662193819|36.20246236200018
02|2016|11|124|3156909.662193819|47.82208430224354
02|2016|12|143|3156909.662193819|53.37064038934049
02|2017|1|119|3157213.1476041167|44.40906090681297
02|2017|2|132|3157213.1476041167|54.53837852061185
02|2017|3|171|3157213.1476041167|63.81470096693293
02|2017|4|137|3157213.1476041167|52.83061111239067
02|2017|5|184|3157213.1476041167|68.66611098196292
02|2017|6|204|3157213.1476041167|78.66747932064013
02|2017|7|168|3157213.1476041167|62.69514480961831
02|2017|8|197|3157213.1476041167|73.5175209969929
02|2017|9|247|3157213.1476041167|95.24934996175544
02|2017|10|229|3157213.1476041167|85.4594533416821
02|2017|11|199|3157213.1476041167|76.73935482748718
02|2017|12|190|3157213.1476041167|70.90522329659214
02|2018|1|226|3157517.0515961535|84.33177965688515
02|2018|2|194|3157517.0515961535|80.14717491411305
02|2018|3|206|3157517.0515961535|76.86879030671832
02|2018|4|246|3157517.0515961535|94.85459464062039
02|2018|5|240|3157517.0515961535|89.55587220200192
02|2018|6|236|3157517.0515961535|90.99871680970087
02|2018|7|265|3157517.0515961535|98.88460888971045
02|2018|8|252|3157517.0515961535|94.03366581210203
02|2018|9|232|3157517.0515961535|89.45636567733305
02|2018|10|277|3157517.0515961535|103.36240249981057
02|2018|11|273|3157517.0515961535|105.26546478410312
02|2018|12|257|3157517.0515961535|95.89941314964373
02|2019|1|237|3157820.9555881904|88.42791280958481
