pop_est|est_date|ent_mun|month|year|day
374.1780283863669|2017.495890410959|20503|7|2017|1
374.2032732818696|2018.495890410959|20503|7|2018|1
374.2285181773723|2019.495890410959|20503|7|2019|1
1756.980307749347|2000.4972677595629|20504|7|2000|1
1756.9281524110388|2001.495890410959|20504|7|2001|1
1756.8759251375682|2002.495890410959|20504|7|2002|1
1756.8236978640975|2003.495890410959|20504|7|2003|1
1756.7713986554647|2004.4972677595629|20504|7|2004|1
1756.7192433171565|2005.495890410959|20504|7|2005|1
1756.6670160436859|2006.495890410959|20504|7|2006|1
1756.6147887702152|2007.495890410959|20504|7|2007|1
1756.5624895615824|2008.4972677595629|20504|7|2008|1
1756.510334223274|2009.495890410959|20504|7|2009|1
1651.998402444969|2010.495890410959|20504|7|2010|1
1651.967712572005|2011.495890410959|20504|7|2011|1
1651.9369804283872|2012.4972677595629|20504|7|2012|1
1651.9063328260768|2013.495890410959|20504|7|2013|1
1651.875642953113|2014.495890410959|20504|7|2014|1
1651.8449530801488|2015.495890410959|20504|7|2015|1
1651.814220936531|2016.4972677595629|20504|7|2016|1
1651.7835733342206|2017.495890410959|20504|7|2017|1
1651.7528834612565|2018.495890410959|20504|7|2018|1
1651.7221935882926|2019.495890410959|20504|7|2019|1
7295.048574218277|2000.4972677595629|20505|7|2000|1
7295.177224052771|2001.495890410959|20505|7|2001|1
7295.306051327332|2002.495890410959|20505|7|2002|1
7295.434878601893|2003.495890410959|20505|7|2003|1
7295.56388331652|2004.4972677595629|20505|7|2004|1
7295.692533151014|2005.495890410959|20505|7|2005|1
7295.821360425575|2006.495890410959|20505|7|2006|1
7295.950187700136|2007.495890410959|20505|7|2007|1
7296.079192414763|2008.4972677595629|20505|7|2008|1
7296.207842249258|2009.495890410959|20505|7|2009|1
7554.0032724111115|2010.495890410959|20505|7|2010|1
7554.066137150893|2011.495890410959|20505|7|2011|1
7554.129088477336|2012.4972677595629|20505|7|2012|1
7554.1918666304555|2013.495890410959|20505|7|2013|1
7554.254731370237|2014.495890410959|20505|7|2014|1
7554.317596110018|2015.495890410959|20505|7|2015|1
7554.380547436461|2016.4972677595629|20505|7|2016|1
7554.44332558958|2017.495890410959|20505|7|2017|1
7554.506190329362|2018.495890410959|20505|7|2018|1
7554.569055069142|2019.495890410959|20505|7|2019|1
755.0050637215965|2000.4972677595629|20506|7|2000|1
755.0184750943043|2001.495890410959|20506|7|2001|1
755.0319049646254|2002.495890410959|20506|7|2002|1
755.0453348349463|2003.495890410959|20506|7|2003|1
755.0587832028805|2004.4972677595629|20506|7|2004|1
755.0721945755884|2005.495890410959|20506|7|2005|1
755.0856244459094|2006.495890410959|20506|7|2006|1
755.0990543162304|2007.495890410959|20506|7|2007|1
755.1125026841645|2008.4972677595629|20506|7|2008|1
755.1259140568724|2009.495890410959|20506|7|2009|1
782.0004122722661|2010.495890410959|20506|7|2010|1
782.0083322394826|2011.495890410959|20506|7|2011|1
782.0162631152549|2012.4972677595629|20506|7|2012|1
782.0241721739156|2013.495890410959|20506|7|2013|1
782.0320921411322|2014.495890410959|20506|7|2014|1
782.0400121083487|2015.495890410959|20506|7|2015|1
782.047942984121|2016.4972677595629|20506|7|2016|1
782.0558520427818|2017.495890410959|20506|7|2017|1
782.0637720099983|2018.495890410959|20506|7|2018|1
782.0716919772149|2019.495890410959|20506|7|2019|1
3346.9769319349493|2000.4972677595629|20507|7|2000|1
3346.9158356815024|2001.495890410959|20507|7|2001|1
3346.854655161151|2002.495890410959|20507|7|2002|1
3346.7934746408|2003.495890410959|20507|7|2003|1
3346.7322098535446|2004.4972677595629|20507|7|2004|1
3346.6711136000977|2005.495890410959|20507|7|2005|1
3346.609933079746|2006.495890410959|20507|7|2006|1
3346.548752559395|2007.495890410959|20507|7|2007|1
3346.4874877721395|2008.4972677595629|20507|7|2008|1
3346.4263915186925|2009.495890410959|20507|7|2009|1
3223.9982220758525|2010.495890410959|20507|7|2010|1
3223.9640672172313|2011.495890410959|20507|7|2011|1
3223.9298653154633|2012.4972677595629|20507|7|2012|1
3223.8957574999886|2013.495890410959|20507|7|2013|1
3223.8616026413674|2014.495890410959|20507|7|2014|1
3223.8274477827463|2015.495890410959|20507|7|2015|1
3223.7932458809782|2016.4972677595629|20507|7|2016|1
3223.7591380655035|2017.495890410959|20507|7|2017|1
3223.7249832068824|2018.495890410959|20507|7|2018|1
3223.690828348261|2019.495890410959|20507|7|2019|1
1488.0061889930623|2000.4972677595629|20508|7|2000|1
1488.0225806708163|2001.495890410959|20508|7|2001|1
1488.0389949567643|2002.495890410959|20508|7|2002|1
1488.0554092427121|2003.495890410959|20508|7|2003|1
1488.071846136854|2004.4972677595629|20508|7|2004|1
1488.088237814608|2005.495890410959|20508|7|2005|1
1488.104652100556|2006.495890410959|20508|7|2006|1
1488.1210663865038|2007.495890410959|20508|7|2007|1
1488.1375032806454|2008.4972677595629|20508|7|2008|1
1488.1538949583996|2009.495890410959|20508|7|2009|1
1521.002499400613|2010.495890410959|20508|7|2010|1
1521.0505142018633|2011.495890410959|20508|7|2011|1
1521.098595136233|2012.4972677595629|20508|7|2012|1
1521.1465438043635|2013.495890410959|20508|7|2013|1
1521.1945586056138|2014.495890410959|20508|7|2014|1
1521.242573406864|2015.495890410959|20508|7|2015|1
1521.2906543412337|2016.4972677595629|20508|7|2016|1
1521.3386030093645|2017.495890410959|20508|7|2017|1
1521.3866178106148|2018.495890410959|20508|7|2018|1
1521.4346326118648|2019.495890410959|20508|7|2019|1
8725.341707435138|2000.4972677595629|20509|7|2000|1
8726.246726734165|2001.495890410959|20509|7|2001|1
8727.152994279531|2002.495890410959|20509|7|2002|1
8728.059261824897|2003.495890410959|20509|7|2003|1
8728.9667776166|2004.4972677595629|20509|7|2004|1
8729.87179691563|2005.495890410959|20509|7|2005|1
8730.778064460994|2006.495890410959|20509|7|2006|1
8731.68433200636|2007.495890410959|20509|7|2007|1
8732.591847798065|2008.4972677595629|20509|7|2008|1
8733.496867097092|2009.495890410959|20509|7|2009|1
10547.021566992918|2010.495890410959|20509|7|2010|1
10547.435880277933|2011.495890410959|20509|7|2011|1
10547.850764216773|2012.4972677595629|20509|7|2012|1
10548.264506847963|2013.495890410959|20509|7|2013|1
10548.678820132978|2014.495890410959|20509|7|2014|1
10549.093133417991|2015.495890410959|20509|7|2015|1
10549.508017356831|2016.4972677595629|20509|7|2016|1
10549.921759988021|2017.495890410959|20509|7|2017|1
10550.336073273036|2018.495890410959|20509|7|2018|1
10550.750386558051|2019.495890410959|20509|7|2019|1
877.9998124547557|2000.4972677595629|20510|7|2000|1
877.999315737248|2001.495890410959|20510|7|2001|1
877.9988183346435|2002.495890410959|20510|7|2002|1
877.9983209320391|2003.495890410959|20510|7|2003|1
877.9978228443377|2004.4972677595629|20510|7|2004|1
877.9973261268301|2005.495890410959|20510|7|2005|1
877.9968287242256|2006.495890410959|20510|7|2006|1
877.9963313216211|2007.495890410959|20510|7|2007|1
877.9958332339198|2008.4972677595629|20510|7|2008|1
877.9953365164122|2009.495890410959|20510|7|2009|1
876.9969852590544|2010.495890410959|20510|7|2010|1
876.9390704987835|2011.495890410959|20510|7|2011|1
876.8810759696985|2012.4972677595629|20510|7|2012|1
876.8232409782418|2013.495890410959|20510|7|2013|1
876.7653262179709|2014.495890410959|20510|7|2014|1
876.7074114577|2015.495890410959|20510|7|2015|1
876.649416928615|2016.4972677595629|20510|7|2016|1
876.5915819371583|2017.495890410959|20510|7|2017|1
876.5336671768874|2018.495890410959|20510|7|2018|1
876.4757524166166|2019.495890410959|20510|7|2019|1
3430.0337581439762|2000.4972677595629|20511|7|2000|1
3430.1231672953622|2001.495890410959|20511|7|2001|1
3430.212699764169|2002.495890410959|20511|7|2002|1
3430.3022322329757|2003.495890410959|20511|7|2003|1
3430.391888019203|2004.4972677595629|20511|7|2004|1
3430.481297170589|2005.495890410959|20511|7|2005|1
3430.570829639396|2006.495890410959|20511|7|2006|1
3430.6603621082027|2007.495890410959|20511|7|2007|1
3430.75001789443|2008.4972677595629|20511|7|2008|1
3430.839427045816|2009.495890410959|20511|7|2009|1
3609.992914070427|2010.495890410959|20511|7|2010|1
3609.8567896338927|2011.495890410959|20511|7|2011|1
3609.7204777065563|2012.4972677595629|20511|7|2012|1
3609.584540760825|2013.495890410959|20511|7|2013|1
3609.4484163242905|2014.495890410959|20511|7|2014|1
3609.3122918877566|2015.495890410959|20511|7|2015|1
3609.1759799604197|2016.4972677595629|20511|7|2016|1
3609.0400430146883|2017.495890410959|20511|7|2017|1
3608.9039185781544|2018.495890410959|20511|7|2018|1
3608.76779414162|2019.495890410959|20511|7|2019|1
1124.9602404082057|2000.4972677595629|20512|7|2000|1
1124.8549362965734|2001.495890410959|20512|7|2001|1
